english,pt_br
the,a
I,eu
and,e
to,para
you,tu
a,uma
of,do
my,minha
in,dentro
that,aquele
me,mim
it,isto
is,é
but,mas
for,para
your,seu
with,com
be,estar
so,assim
was,foi
her,ela
as,Como
on,em
all,todo
she,ela
not,não
he,ele
this,esta
we,nós
like,Como
are,está
have,ter
just,somente
love,amar
what,que
one,1
I'm,Eu estou
know,conhecer
no,não
when,quando
his,seu
at,no
they,elas
from,a partir de
will,vontade
do,Faz
never,Nunca
don't,não
can,posso
up,acima
want,quer
see,Vejo
go,ir
time,Tempo
now,agora
out,Fora
if,E se
feel,sentir
or,ou
by,de
there,lá
life,vida
it's,Está
make,fazer
how,quão
would,gostaria
look,Veja
eye,olho
because,Porque
could,poderia
say,dizer
day,dia
who,Who
get,pegar
had,teve
were,eram
down,baixa
only,só
our,nosso
think,pensar
heart,coração
back,de volta
then,então
into,para dentro
am,sou
come,venha
about,cerca de
him,dele
more,mais
away,um jeito
can't,não pode
still,ainda
their,deles
way,caminho
an,a
them,eles
why,Por quê
take,levar
thing,coisa
even,até
through,Através dos
long,grandes
let,deixar
us,nós
always,sempre
you're,você é
world,mundo
too,também
friend,amigo
tell,contar
I'll,eu vou
try,experimentar
hand,mão
has,tem
face,face
did,fez
thought,pensei
over,sobre
here,aqui
word,palavra
other,de outros
where,Onde
every,cada
need,precisar
smile,sorrir
again,novamente
much,Muito de
cry,choro
been,sido
night,noite
its,Está
ever,sempre
little,pequeno
said,disse
end,fim
some,algum
than,do que
live,viver
fall,cair
those,Essa
pain,dor
around,por aí
mind,mente
people,pessoas
girl,menina
leave,sair
dream,Sonhe
left,deixou
turn,virar
myself,Eu mesmo
right,certo
tear,rasgar
head,cabeça
give,dar
nothing,nada
really,realmente
off,fora
before,antes de
something,algo
find,encontrar
hold,espera
man,homem
walk,andar
wish,desejar
good,Boa
once,uma vez
I've,Eu tenho
place,"Lugar, colocar"
light,luz
call,chamar
ask,perguntar
lie,mentira
stop,Pare
that's,isso é
hear,ouvir
keep,guarda
watch,Assistir
seem,parecer
year,ano
sit,sentar
die,morrer
everything,tudo
without,sem
though,Apesar
lost,perdido
these,esses
wait,aguarde
got,pegou
care,Cuidado
yet,ainda
made,fez
remember,lembrar
start,começar
alone,sozinho
which,que
last,durar
run,corre
didn't,não
hope,esperança
maybe,pode ser
believe,acreditam
body,corpo
hate,odiar
after,depois de
until,até
close,Fechar
talk,palestra
hard,duro
stand,ficar de pé
old,velho
own,ter
each,cada
well,Nós vamos
hurt,ferido
while,enquanto
help,ajuda
home,casa
god,Deus
soul,alma
new,novo
many,vários
two,dois
oh,Oh
told,contou
won't,não vai
inside,lado de dentro
I'd,eu ia
should,devemos
move,mover
first,primeiro
fear,medo
mean,quer dizer
better,melhorar
may,posso
play,Reproduzir
another,outro
gone,perdido
change,mudança
use,usar
wonder,maravilha
knew,sabia
same,mesmo
someone,alguém
hair,cabelo
cold,resfriado
open,abrir
best,melhor
any,algum
behind,atras do
miss,perde
arm,braço
happen,acontecer
star,Estrela
water,agua
dark,Sombrio
laugh,risada
stay,fique
forever,para todo sempre
name,nome
she's,ela é
work,trabalhar
show,exposição
there's,há
sky,céu
break,pausa
far,distante
came,veio
deep,profundo
door,porta
put,por
room,sala
black,Preto
together,junto
upon,sobre
boy,Garoto
happy,feliz
such,tal
great,excelente
white,Branco
doesn't,não
you'll,você vai
does,faz
matter,importam
side,lado
fill,preencher
past,passado
fight,lutar
sun,sol
please,por favor
burn,queimar
cause,causa
enough,o suficiente
touch,tocar
cannot,não pode
moment,momento
soon,em breve
voice,voz
you've,você tem
scream,gritar
anything,nada
stare,olhar fixamente
he's,ele é
most,maioria
sound,som
red,vermelho
everyone,todos
fuck,Porra
hide,ocultar
kiss,beijo
truth,verdade
death,morte
beautiful,lindo
mine,minha
blood,sangue
broken,quebrado
very,muito
pass,passar
next,Próximo
forget,esqueço
tree,árvore
wrong,errado
air,ar
mother,mãe
must,devo
done,feito
found,encontrado
understand,Compreendo
lip,lábio
hit,bater
wall,muro
couldn't,não podia
else,outro
beat,bater
memory,memória
saw,serrar
wind,vento
sleep,dormir
free,gratuitamente
high,Alto
realize,entender
school,escola
bad,mau
late,atrasado
went,foi
felt,sentido
might,poder
skin,pele
sweet,doce
perfect,perfeito
blue,azul
kill,mate